path,template
/ae_ar/products/audience-manager/adobe-audience-manager,Full Form
/ae_ar/products/real-time-customer-data-platform/cdp-definitive-hub,Essential Form 
/ae_en/products/audience-manager/adobe-audience-manager,Full Form
/ae_en/products/real-time-customer-data-platform/cdp-definitive-hub,Essential Form 
/africa/products/audience-manager/adobe-audience-manager,Full Form
/africa/products/real-time-customer-data-platform/cdp-definitive-hub,Essential Form 
/africa/products/real-time-customer-data-platform/rtcdp-africa-41-v2,Full Form
/ar/resources/reports/gartner-mq-b2b-automation-platforms-2022,Essential Form
/ar/resources/reports/mira-adobe-commerce-en-accion-demostracion-general,Essential Form
/at/products/audience-manager/adobe-audience-manager,Full Form
/at/products/real-time-customer-data-platform/cdp-definitive-hub,Essential Form 
/at/resources/webinars/maximize-web-performance-with-the-new-adobe-experience-manager-sites,Expanded Form
/au/products/audience-manager/adobe-audience-manager,Full Form
/au/products/real-time-customer-data-platform/cdp-definitive-hub,Essential Form
/au/resources/guides/google-universal-analytics-alternative-buyers-guide-b-b-copy,Essential Form
/au/resources/guides/managing-successful-webinars-a-marketers-must-have-checklist,Expanded Form
/au/resources/guides/work-management-marketers-asset-management1,Essential Form
/au/resources/reports/content-intelligence-old,Essential Form
/au/resources/reports/content_intelligence/content-intelligence,Essential Form
/au/resources/reports/hestateofindustry1,Essential Form
/au/resources/reports/offertest,Essential Form
/au/resources/reports/retail-digital-trends-2022,Essential Form
/au/resources/reports/the-state-of-digital-equity-across-aotearoa-new-zealand-public-sector,Essential Form
/au/resources/reports/wrapping-your-head-around-headless-cms1,Essential Form
/au/resources/webinars/3-hacks-to-boost-email-open-rates,Expanded Form
/au/resources/webinars/makeit,Expanded Form
/au/solutions/industries/government,Full Form
/be_en/products/audience-manager/adobe-audience-manager,Full Form
/be_en/products/real-time-customer-data-platform/cdp-definitive-hub,Essential Form 
/be_en/resources/resources/reports/gartner-mq-digital-commerce-2022,Essential Form
/be_fr/products/audience-manager/adobe-audience-manager,Full Form
/be_fr/products/real-time-customer-data-platform/cdp-definitive-hub,Essential Form 
/be_fr/resources/ebooks/market-to-people-not-data-points,Essential Form 
/be_fr/resources/ebooks/resonate-with-your-audience,Essential Form
/be_fr/resources/webinars/maximize-web-performance-with-the-new-adobe-experience-manager-sites,Expanded Form
/be_nl/products/audience-manager/adobe-audience-manager,Full Form
/be_nl/products/real-time-customer-data-platform/cdp-definitive-hub,Essential Form 
/be_nl/resources/reports/gartner-mq-b2b-automation-platforms-2023,Essential Form
/be_nl/resources/reports/gartner-mq-multichannel-marketing-hubs-2023,Essential Form 
/bg/products/audience-manager/adobe-audience-manager,Full Form
/bg/products/real-time-customer-data-platform/cdp-definitive-hub,Essential Form 
/br/resources/adobe-target-guia-ti,Essential Form 
/br/resources/digital-trends-report-loc,Essential Form
/br/resources/ebooks/adobe-analytics-prime-augmented-marketing-analytics/adobe-analytics-prime-augmented-marketing-analytics,Essential Form 
