path,URL,template
/ae_ar/customers/consulting-services/contact-us,https://business.adobe.com/ae_ar/customers/consulting-services/contact-us,Full Form
/ae_ar/products/audience-manager/adobe-audience-manager,https://business.adobe.com/ae_ar/products/audience-manager/adobe-audience-manager,No Forms
/ae_ar/products/campaign/pricing,https://business.adobe.com/ae_ar/products/campaign/pricing,Full Form
/ae_ar/products/experience-manager/assets/pricing,https://business.adobe.com/ae_ar/products/experience-manager/assets/pricing,Full Form
/ae_ar/products/experience-manager/forms/pricing,https://business.adobe.com/ae_ar/products/experience-manager/forms/pricing,Full Form
/ae_ar/products/experience-manager/guides/get-demo,https://business.adobe.com/ae_ar/products/experience-manager/guides/get-demo,Expanded Form
/ae_ar/products/experience-manager/sites/pricing,https://business.adobe.com/ae_ar/products/experience-manager/sites/pricing,Full Form
/ae_ar/products/learning-manager/get-demo,https://business.adobe.com/ae_ar/products/learning-manager/get-demo,Expanded Form
/ae_ar/products/learning-manager/pricing,https://business.adobe.com/ae_ar/products/learning-manager/pricing,Full Form
/ae_ar/products/magento/get-demo,https://business.adobe.com/ae_ar/products/magento/get-demo,Expanded Form
/ae_ar/products/magento/pricing,https://business.adobe.com/ae_ar/products/magento/pricing,Full Form
/ae_ar/products/marketo/get-demo,https://business.adobe.com/ae_ar/products/marketo/get-demo,Expanded Form
/ae_ar/products/marketo/pricing,https://business.adobe.com/ae_ar/products/marketo/pricing,Full Form
/ae_ar/products/real-time-customer-data-platform/cdp-definitive-hub,https://business.adobe.com/ae_ar/products/real-time-customer-data-platform/cdp-definitive-hub,No Forms
/ae_ar/products/real-time-customer-data-platform/pricing,https://business.adobe.com/ae_ar/products/real-time-customer-data-platform/pricing,Full Form
/ae_ar/products/target/pricing,https://business.adobe.com/ae_ar/products/target/pricing,Full Form
/ae_ar/products/workfront/get-demo,https://business.adobe.com/ae_ar/products/workfront/get-demo,Expanded Form
/ae_ar/products/workfront/pricing,https://business.adobe.com/ae_ar/products/workfront/pricing,Full Form
/ae_ar/request-consultation/advertising-cloud,https://business.adobe.com/ae_ar/request-consultation/advertising-cloud,Full Form
/ae_ar/request-consultation/experience-cloud,https://business.adobe.com/ae_ar/request-consultation/experience-cloud,Full Form
/ae_ar/resources/digital-trends-content-management-report,https://business.adobe.com/ae_ar/resources/digital-trends-content-management-report,Essential Form
/ae_ar/resources/digital-trends-data-and-insights-report,https://business.adobe.com/ae_ar/resources/digital-trends-data-and-insights-report,Essential Form
/ae_ar/resources/enterprise-project-management,https://business.adobe.com/ae_ar/resources/enterprise-project-management,No Forms
/ae_ar/resources/experience-magento,https://business.adobe.com/ae_ar/resources/experience-magento,Expanded Form
/ae_ar/resources/experience-magento-b2b-b2c,https://business.adobe.com/ae_ar/resources/experience-magento-b2b-b2c,Expanded Form
/ae_ar/resources/experience-magento-compare,https://business.adobe.com/ae_ar/resources/experience-magento-compare,Expanded Form
/ae_ar/resources/journey-optimizer-interactive-tour,https://business.adobe.com/ae_ar/resources/journey-optimizer-interactive-tour,Expanded Form
/ae_ar/resources/personalization-at-scale-interactive-tour,https://business.adobe.com/ae_ar/resources/personalization-at-scale-interactive-tour,Full Form
/ae_ar/resources/personalization-at-scale-report,https://business.adobe.com/ae_ar/resources/personalization-at-scale-report,Essential Form
/ae_ar/resources/reports/forrester-wave-content-management-systems-2023,https://business.adobe.com/ae_ar/resources/reports/forrester-wave-content-management-systems-2023,Full Form
/ae_ar/resources/reports/forrester-wave-dxp-2023,https://business.adobe.com/ae_ar/resources/reports/forrester-wave-dxp-2023,Full Form
/ae_ar/resources/reports/gartner-mq-b2b-automation-platforms-2023,https://business.adobe.com/ae_ar/resources/reports/gartner-mq-b2b-automation-platforms-2023,Full Form
/ae_ar/resources/reports/gartner-mq-digital-commerce-2023,https://business.adobe.com/ae_ar/resources/reports/gartner-mq-digital-commerce-2023,Full Form
/ae_ar/resources/reports/gartner-mq-multichannel-marketing-hubs-2023,https://business.adobe.com/ae_ar/resources/reports/gartner-mq-multichannel-marketing-hubs-2023,Full Form
